"ID" "CITY" "STATE" "ZIP" "Q050" "Q051" "Q052" "Q053" "Q054" "Q055" "Q056" "Q057" "Q058" "Q059" "Q060" "Q061" "Q062" "Q063" "Q064" "Q065" "Q066" "Q067" "Q068" "Q069" "Q070" "Q071" "Q072" "Q073" "Q074" "Q075" "Q076" "Q077" "Q078" "Q079" "Q080" "Q081" "Q082" "Q083" "Q084" "Q085" "Q086" "Q087" "Q088" "Q089" "Q090" "Q091" "Q092" "Q093" "Q094" "Q095" "Q096" "Q097" "Q098" "Q099" "Q100" "Q101" "Q102" "Q103" "Q104" "Q105" "Q106" "Q107" "Q109" "Q110" "Q111" "Q115" "Q117" "Q118" "Q119" "Q120" "Q121" "lat" "long"
1072 "Rolla" "MO" "65401" 4 1 2 2 2 2 1 1 2 1 1 7 2 1 1 3 5 1 3 3 6 2 1 1 2 1 4 1 3 1 8 3 3 5 4 6 2 1 1 1 2 2 3 1 2 1 2 1 1 2 4 2 1 4 1 1 1 3 1 8 2 1 1 6 1 2 1 37.94384 -91.771058
1073 "Uniondale" "NY" "11553" 7 2 3 2 2 2 2 2 6 1 0 4 2 1 4 1 2 1 3 3 2 2 1 1 13 1 1 0 2 3 1 1 6 1 4 2 1 2 7 3 1 2 3 1 2 1 5 2 1 2 4 2 10 4 1 1 3 3 1 8 2 1 3 7 1 1 1 40.703502 -73.593068
1074 "Boston" "MA" "02142" 7 2 2 2 2 2 2 2 4 1 7 4 2 2 1 2 2 1 7 6 3 3 1 1 12 1 1 4 3 1 1 1 2 1 2 5 2 2 7 3 1 2 3 2 2 6 5 3 1 3 1 2 3 4 1 5 7 3 1 8 3 1 1 6 4 5 3 42.362297 -71.084129
1075 "cincinnati" "OH" "45209" 4 2 3 2 2 2 1 1 3 21 5 4 2 1 1 1 5 1 7 4 6 3 1 3 1 1 1 0 2 1 8 1 17 0 4 2 1 1 1 1 2 2 0 2 4 1 4 4 1 2 1 3 5 4 1 1 3 2 1 3 2 1 1 5 1 1 5 39.15406 -84.430862
1076 "westfield" "NJ" "07090" 1 2 1 2 1 2 1 2 4 3 5 4 2 1 1 3 1 1 7 6 7 5 1 6 5 1 1 1 3 2 0 1 3 5 4 6 2 2 7 1 2 2 3 2 4 1 3 1 1 1 1 2 5 4 1 2 3 2 1 8 2 1 5 6 1 2 4 40.649202 -74.345676
1077 "Memphis" "TN" "38112" 8 2 2 1 2 2 2 2 2 20 9 7 2 1 1 1 1 1 7 1 7 5 1 6 4 6 8 1 1 0 3 5 2 7 7 2 1 2 4 3 1 2 3 2 4 1 5 1 1 3 4 3 10 4 1 1 2 10 1 8 8 1 1 7 1 2 6 35.148605 -89.974798
1078 "Wilton" "CT" "06897" 7 2 3 2 2 2 2 2 1 1 8 6 9 1 4 2 1 1 3 3 6 2 1 1 13 1 4 4 3 1 8 1 17 1 4 2 2 2 1 2 1 2 3 1 1 1 3 4 1 2 1 2 10 4 1 1 1 3 1 8 2 1 3 7 1 1 1 41.201446 -73.437582
1079 "Gouldsboro" "ME" "04607" 8 1 3 2 2 2 2 3 2 2 8 4 10 1 1 3 2 1 5 3 7 5 1 1 14 1 9 4 3 9 3 1 17 1 7 2 2 2 7 2 1 2 3 2 3 6 2 5 1 2 5 2 3 3 6 5 5 3 1 8 2 1 4 7 1 1 7 44.49569 -68.094675
1080 "Canton" "MA" "02021" 4 2 2 2 2 2 2 3 2 1 8 7 1 2 1 2 1 1 4 6 7 0 1 1 13 5 7 1 2 1 1 1 0 1 1 1 1 2 7 3 1 2 3 2 1 1 3 5 1 8 4 2 1 4 1 4 1 3 1 8 2 1 6 1 1 5 1 42.166776 -71.134301
1081 "Winston-Salem" "NC" "27104" 8 2 2 1 3 2 2 2 0 21 8 4 10 1 11 3 1 1 3 6 7 2 1 6 4 8 1 1 3 1 8 7 17 3 7 6 2 2 1 1 4 5 3 2 4 1 5 6 1 2 5 5 1 4 1 10 1 3 1 8 8 1 4 6 1 2 1 36.094104 -80.315037
1082 "columbus" "OH" "43204" 7 1 2 2 1 1 1 1 2 2 1 3 1 1 3 1 1 1 3 3 6 3 5 6 12 1 4 0 1 9 1 1 3 1 4 2 2 2 1 1 1 2 0 2 2 1 2 1 1 3 4 2 4 4 1 1 1 5 1 3 2 1 1 6 1 2 1 39.958496 -83.08231
1083 "brooklyn" "NY" "12462" 4 1 3 2 2 2 2 2 1 15 8 4 2 0 4 3 1 1 7 4 7 3 5 1 11 1 4 4 2 1 1 1 2 0 4 5 2 2 4 3 1 2 0 3 2 1 3 2 1 2 4 2 10 4 1 1 3 3 1 8 1 1 1 7 1 1 6 NA NA
1084 "NewLenox" "IL" "60451" 7 1 3 2 2 2 2 1 3 20 8 7 2 1 1 3 1 1 3 3 6 3 1 6 1 8 1 1 3 10 8 1 2 5 1 4 2 1 1 3 3 2 3 2 3 6 5 5 1 1 1 2 5 3 2 2 1 4 1 8 3 1 4 7 2 2 1 41.509231 -87.964755
1085 "GarrettPark" "MD" "20895" 1 2 3 2 2 2 2 2 2 1 8 7 1 1 1 1 1 1 7 6 7 5 5 1 11 6 1 4 3 1 8 1 2 7 1 2 2 1 4 3 1 2 0 2 3 0 4 2 1 6 4 2 3 3 3 3 2 3 2 8 2 1 1 7 1 5 1 39.027259 -77.077455
1086 "Scarsdale" "NY" "10583" 1 2 1 2 2 2 2 2 1 20 3 4 9 1 1 2 7 1 3 3 2 2 5 1 13 1 7 4 2 1 1 1 16 5 4 5 1 3 4 3 1 2 3 3 4 1 4 2 1 2 4 2 10 4 1 1 1 3 1 8 3 1 1 7 1 2 1 40.98845 -73.79716
1088 "McLean" "VA" "22101" 4 2 3 2 2 2 2 1 2 20 8 4 1 1 1 2 2 1 7 6 6 5 1 1 4 1 1 1 1 1 8 1 2 1 1 6 1 3 7 3 1 2 3 2 1 1 4 5 1 6 4 5 1 4 1 1 1 3 1 8 1 1 1 7 1 2 1 38.93276 -77.167701
1089 "LosAngeles" "CA" "90212" 4 2 2 2 2 2 2 2 3 20 8 4 7 1 10 2 1 1 3 3 2 5 5 6 13 8 1 4 0 1 1 1 16 1 7 2 3 1 7 3 1 2 0 1 1 1 5 6 1 2 4 2 10 4 1 1 7 3 1 8 1 1 1 7 1 2 6 34.060859 -118.40191
1090 "stLouis" "MO" "63105" 7 2 1 2 2 2 1 1 2 2 8 6 2 5 2 1 5 1 7 6 6 0 5 1 4 1 4 4 3 1 8 1 2 0 4 2 2 1 2 1 3 2 3 2 1 6 1 2 1 2 1 2 1 4 1 1 1 4 2 8 2 1 1 6 3 5 1 38.645484 -90.328881
1091 "Hackensack" "NJ" "07601" 7 2 2 2 2 2 2 2 2 2 5 4 2 1 1 1 2 1 3 3 2 2 5 1 1 1 4 4 2 7 1 1 15 1 3 2 2 2 3 3 1 2 3 3 1 1 2 1 1 3 4 2 3 3 1 1 7 3 1 8 2 1 3 7 1 1 1 40.888678 -74.048801
1092 "Canton" "MI" "48188" 4 1 1 2 2 2 2 2 3 20 8 1 2 1 1 2 2 1 3 3 2 2 5 6 4 1 1 1 2 5 1 1 17 5 2 2 1 1 4 1 1 2 3 2 4 1 5 5 2 2 4 3 3 3 1 2 1 9 1 6 2 1 1 8 3 2 1 42.289354 -83.474013
1093 "Houston" "TX" "77062" 4 1 1 2 2 2 2 2 3 20 8 1 2 1 1 2 2 1 3 3 2 2 5 6 4 1 1 1 2 5 1 1 17 5 2 2 1 1 4 1 1 2 3 2 4 1 5 5 2 2 4 3 3 3 1 2 1 9 1 6 2 1 1 8 3 2 1 29.57493 -95.132387
1094 "Bethesda" "MD" "20814" 8 2 3 2 2 2 2 1 13 20 5 4 1 6 11 2 1 1 6 3 4 2 5 1 4 1 1 4 3 1 1 1 2 1 4 6 3 2 1 3 1 3 3 2 3 1 1 5 1 2 4 3 1 3 6 1 2 3 1 8 1 1 6 6 3 1 5 38.999759 -77.101856
1095 "FortWorth" "TX" "76109" 8 1 3 2 2 2 2 1 3 2 8 4 2 1 1 1 5 1 7 6 7 5 1 6 2 1 4 1 1 2 1 1 2 1 2 2 2 2 1 3 1 2 3 2 2 1 4 2 1 1 4 2 11 4 1 3 3 3 1 8 2 1 1 8 1 1 3 32.699565 -97.378083
1096 "Chicago" "IL" "60143" 4 1 1 2 2 2 2 1 3 20 8 6 2 1 1 1 1 1 3 3 6 3 1 6 4 1 1 1 3 5 1 1 2 5 2 5 3 2 7 3 2 2 3 2 4 5 5 1 1 3 1 2 1 3 2 2 1 5 1 8 2 1 1 6 3 2 2 41.972328 -88.021963
1097 "Phoenix" "AZ" "85254" 8 2 2 2 2 2 2 2 2 20 8 7 2 1 1 1 1 1 4 5 3 3 5 1 3 1 7 1 1 1 8 1 9 5 1 2 2 2 7 3 1 2 3 2 1 6 5 5 1 6 5 2 5 5 6 3 1 3 1 8 8 1 1 6 1 2 1 33.617504 -111.954167
1098 "OakPark" "CA" "91316" 7 1 1 2 2 2 2 2 3 20 8 4 2 1 1 3 5 1 3 3 6 2 1 10 4 1 7 1 1 9 1 1 17 7 2 6 3 1 7 1 2 2 3 2 4 6 5 5 3 6 4 3 10 3 1 1 1 3 1 8 1 1 3 8 3 2 2 34.168753 -118.516365
1099 "Yonkers" "NY" "10701" 7 2 1 2 2 2 1 0 3 3 8 7 2 1 4 1 1 1 3 6 7 3 6 1 5 3 4 4 2 2 8 3 16 7 4 6 1 1 1 3 1 2 3 1 2 1 4 2 1 1 5 2 10 4 1 1 1 3 1 8 2 1 3 7 1 5 1 40.943525 -73.881761
1100 "Birmingham" "MI" "48301" 4 1 3 2 2 1 1 1 3 2 8 6 2 1 1 1 2 1 7 4 3 3 1 3 4 1 1 1 2 9 8 1 8 5 4 6 2 2 7 1 1 1 3 2 1 6 4 1 1 2 1 2 10 4 1 2 3 3 1 6 2 1 1 6 3 2 3 42.546445 -83.280837
1101 "St.Ignatius" "MT" "59865" 7 2 1 2 2 2 2 2 2 20 8 4 7 1 1 2 5 1 3 3 3 2 1 6 3 1 7 2 1 1 1 1 15 7 6 6 3 2 7 4 1 3 3 2 1 6 3 1 5 1 4 2 11 4 1 2 1 9 1 8 3 2 1 8 4 2 2 47.317264 -114.044029
1102 "FortWorth" "TX" "76107" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32.738481 -97.384247
1103 "Minnetonka" "MN" "55345" 1 1 2 2 2 2 2 2 3 1 7 3 2 1 1 3 2 1 3 1 2 2 5 1 1 3 1 1 3 1 9 1 12 5 1 5 2 2 1 3 1 2 3 2 1 1 4 1 1 1 2 2 3 3 1 1 1 3 1 8 2 1 1 7 2 2 1 44.915413 -93.48443
1104 "SouthBrunswick" "NJ" "08852" 4 2 2 2 2 2 2 3 2 19 8 7 2 1 1 3 1 1 3 6 2 5 1 1 1 1 1 1 2 1 1 1 14 5 2 6 2 1 7 1 1 2 3 1 2 1 5 2 1 3 5 2 1 4 6 1 3 3 1 3 2 1 3 7 1 2 5 40.389428 -74.54329
1105 "Pittsburgh" "PA" "15217" 1 2 3 1 2 3 1 2 3 20 8 4 2 1 1 3 1 1 3 5 2 2 1 9 1 3 1 1 3 1 8 1 11 5 2 5 3 1 7 3 1 2 1 2 4 1 4 1 1 3 4 3 5 4 1 2 3 3 1 8 2 1 3 6 3 2 2 40.430919 -79.925697
1106 "Baltimore" "MD" "21228" 4 2 2 2 2 2 2 2 2 21 8 7 1 1 1 1 2 1 7 0 0 0 1 6 1 1 4 0 2 1 8 1 17 7 4 2 2 1 6 2 1 2 3 2 4 6 1 1 1 2 4 2 10 4 1 1 3 3 1 8 2 1 1 7 3 1 1 39.278056 -76.740029
1107 "Phoenix" "AZ" "85018" 4 2 2 2 2 2 2 2 2 21 8 7 1 1 1 1 2 1 7 0 0 0 1 6 1 1 4 0 2 1 8 1 17 7 4 2 2 1 6 2 1 2 3 2 4 6 1 1 1 2 4 2 10 4 1 1 3 3 1 8 2 1 1 7 3 1 1 33.498076 -111.986036
1108 "" "NJ" "07950" 7 2 2 2 2 2 2 2 3 20 5 4 2 1 1 3 1 1 3 3 6 2 1 1 3 1 4 1 2 1 1 1 6 5 4 5 1 2 7 1 1 2 3 1 1 1 3 2 1 2 4 2 10 4 1 1 3 3 1 3 2 1 1 6 1 2 1 40.842399 -74.482239
1109 "Evanston" "IL" "60201" 8 1 1 2 2 2 2 2 3 21 8 3 2 1 1 3 1 1 3 3 2 2 1 1 4 1 1 4 3 2 8 1 17 5 2 6 2 2 1 3 1 2 3 2 1 1 5 2 1 7 4 2 1 5 6 1 1 3 1 8 2 1 1 7 3 2 1 42.056391 -87.696849
1110 "St.Louis" "MO" "63124" 7 1 2 2 2 2 2 2 13 20 8 4 2 1 1 3 1 1 1 6 7 2 1 6 4 1 7 1 1 1 1 1 8 5 2 2 3 1 4 3 3 2 3 2 4 6 5 1 1 2 4 2 3 3 1 1 1 9 1 8 2 1 1 7 3 2 1 38.645802 -90.376874
1111 "Philadelphia" "PA" "19066" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40.003762 -75.249304
1112 "Columbus" "OH" "43221" 4 2 2 2 2 2 2 2 3 5 3 1 1 1 1 3 5 1 7 5 4 5 6 10 3 1 1 1 3 9 1 1 3 7 2 5 1 1 7 1 3 3 3 2 3 1 3 5 1 2 1 2 1 3 1 1 1 3 1 3 2 1 4 6 3 2 3 40.02063 -83.076556
1113 "Portland" "OR" "97225" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45.497856 -122.769888
1114 "Chicago" "IL" "60637" 7 2 2 2 2 2 2 2 13 20 5 2 1 1 11 0 1 2 3 6 2 5 6 11 4 8 1 4 3 1 1 1 17 7 4 2 2 2 4 5 1 2 3 2 1 0 2 5 1 8 5 2 1 3 2 10 3 2 1 8 2 1 1 6 3 1 2 41.779384 -87.605449
1115 "Wilton" "CT" "06897" 4 2 3 2 2 3 3 1 1 20 9 4 2 1 4 3 2 1 7 3 7 5 1 1 3 1 1 0 2 1 1 1 5 1 4 4 1 3 7 3 0 2 0 3 3 1 3 5 1 2 4 2 10 4 1 1 3 3 1 3 1 1 5 8 1 2 1 41.201446 -73.437582
1117 "Amarillo" "TX" "79103" 8 1 1 1 1 1 1 3 3 3 9 7 2 1 1 3 1 1 7 6 7 5 1 6 1 8 4 1 1 2 3 1 12 5 4 6 2 1 7 1 2 1 0 2 4 1 4 1 1 1 3 2 1 4 1 3 1 2 2 8 2 1 3 2 3 2 1 35.184253 -101.810735
1118 "Dumont" "NJ" "07628" 7 2 3 2 2 2 2 1 3 15 5 4 2 1 4 3 2 1 3 3 6 2 3 1 1 1 4 1 3 1 1 1 12 1 4 1 1 3 1 1 1 2 3 1 4 1 4 2 1 2 1 2 1 4 1 1 3 3 1 4 8 1 1 7 1 2 1 40.945173 -73.993425
1119 "Houston" "TX" "77057" 7 2 2 2 2 2 2 2 4 20 8 6 9 1 8 2 1 1 1 1 7 5 6 9 13 3 8 4 4 10 9 3 16 7 2 2 3 3 7 1 1 2 3 2 3 1 5 3 1 6 4 2 1 4 6 5 7 2 1 8 7 2 2 6 4 5 1 29.745129 -95.491318
1120 "scarsdale" "NY" "10583" 4 1 1 2 2 2 2 2 13 20 8 6 2 1 4 3 7 1 7 0 7 5 1 1 13 1 4 0 2 1 1 1 17 1 1 4 2 3 7 1 1 2 3 3 4 1 5 2 1 2 4 2 10 4 1 1 7 3 1 8 5 1 3 7 1 2 3 40.98845 -73.79716
1121 "Brooklyn" "NY" "11207" 4 2 3 2 2 2 2 1 3 21 8 3 7 6 4 1 1 1 0 6 7 0 5 1 1 1 7 4 2 1 1 1 2 7 4 6 1 2 5 3 1 2 0 1 2 1 4 5 1 2 4 2 10 4 1 1 7 3 1 8 2 1 4 8 1 5 7 40.670874 -73.894245
1122 "Tarrytown" "NY" "10591" 4 2 2 2 2 2 2 1 3 20 8 4 2 1 11 1 1 1 7 3 2 2 1 1 4 1 4 1 2 5 1 1 11 5 4 2 1 1 1 3 1 2 3 1 2 1 5 2 1 2 4 2 9 4 1 1 3 2 1 3 1 1 1 7 1 2 2 41.080196 -73.857212
1123 "WestBend" "WI" "53095" 4 2 2 2 2 2 2 1 3 20 8 4 2 1 11 1 1 1 7 3 2 2 1 1 4 1 4 1 2 5 1 1 11 5 4 2 1 1 1 3 1 2 3 1 2 1 5 2 1 2 4 2 9 4 1 1 3 2 1 3 1 1 1 7 1 2 2 43.40328 -88.180267
1124 "SilverSpring" "MD" "20910" 8 2 3 2 2 2 2 2 13 3 8 7 10 1 0 2 8 1 7 6 3 5 1 6 1 3 9 1 2 0 8 1 2 7 0 5 2 1 6 3 1 2 3 2 6 6 5 0 1 0 0 2 11 3 0 1 2 3 4 8 2 1 1 8 2 2 3 38.999992 -77.034044
1125 "NewYork" "NY" "10029" 7 2 3 2 2 2 2 2 2 20 8 4 2 1 1 2 1 1 7 6 7 5 1 1 10 5 4 1 3 1 8 3 3 1 1 6 3 3 1 3 1 2 3 1 4 1 4 5 1 1 4 2 1 4 1 1 5 3 1 8 1 1 1 7 1 2 1 40.791586 -73.945756
1126 "Blacksburg" "VA" "24060" 7 2 2 2 2 2 2 2 2 20 8 6 9 1 1 1 2 1 7 6 7 5 5 1 4 1 7 4 3 1 8 1 16 7 6 6 2 3 7 4 1 2 3 2 4 6 4 1 1 7 4 2 1 4 1 3 3 9 1 8 2 1 5 7 1 2 1 37.232027 -80.421279
1127 "tuckerton" "NJ" "08087" 1 1 1 2 2 2 2 2 3 20 8 4 2 1 3 1 7 1 7 6 7 5 1 1 13 1 7 1 2 1 1 1 17 7 3 2 1 2 7 2 1 2 3 2 1 1 5 2 1 6 1 2 10 4 1 1 3 3 1 3 1 1 3 7 1 2 3 39.59899 -74.365732
1128 "Seattle" "WA" "98105" 4 2 3 2 2 2 2 2 2 20 8 6 2 1 1 2 2 1 2 2 3 3 1 1 14 1 7 4 3 9 8 1 6 5 4 5 3 1 3 3 1 2 2 2 4 6 5 2 1 6 4 2 3 3 1 10 1 3 1 8 2 1 1 7 1 2 1 47.66377 -122.301182
1129 "Wollaston" "MA" "02170" 4 2 3 2 2 2 2 2 2 2 8 6 1 1 1 2 1 1 6 3 4 5 1 1 13 1 1 4 3 9 1 3 16 1 1 1 1 1 1 3 2 2 3 2 1 6 4 2 1 1 4 2 1 4 1 5 7 3 1 8 2 1 5 7 1 5 1 42.267049 -71.018348
1130 "Philadelphia" "PA" "19130" 4 1 1 2 3 3 3 1 2 20 8 4 7 1 3 3 5 1 3 3 2 2 1 1 4 1 1 1 4 1 8 1 8 5 3 4 1 1 1 3 1 2 3 3 4 1 5 1 1 3 4 3 11 4 1 1 3 3 1 3 2 1 3 8 1 2 2 39.968262 -75.172228
1131 "Brooklyn" "NY" "11216" 7 2 2 2 2 2 2 2 3 3 8 4 2 1 4 3 7 1 4 0 0 5 1 1 13 1 4 0 2 1 1 3 2 0 4 0 1 3 7 1 1 2 0 3 4 1 5 5 1 2 5 2 10 4 1 1 1 3 1 8 3 1 1 7 1 6 1 40.680398 -73.94824
1132 "Bristol" "CT" "06010" 7 1 3 2 2 2 2 2 1 1 9 1 2 1 2 2 2 1 3 3 2 2 1 1 12 1 7 1 3 1 8 1 2 7 1 1 1 1 4 0 1 2 3 2 1 6 3 2 1 1 4 2 3 3 1 1 1 3 1 8 2 1 3 7 1 2 1 41.682249 -72.933656
1133 "Washington" "DC" "20001" 7 1 3 2 2 2 2 2 1 1 9 1 2 1 2 2 2 1 3 3 2 2 1 1 12 1 7 1 3 1 8 1 2 7 1 1 1 1 4 0 1 2 3 2 1 6 3 2 1 1 4 2 3 3 1 1 1 3 1 8 2 1 3 7 1 2 1 38.907711 -77.017322
1134 "NewYork" "NY" "10024" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40.786387 -73.97709
1135 "LakeForest" "IL" "60045" 7 2 2 2 2 2 2 2 2 1 9 7 2 1 1 2 2 1 7 0 7 5 1 1 13 1 1 4 3 1 8 1 7 1 4 2 2 1 1 1 3 2 3 2 1 5 3 2 1 1 1 2 1 3 1 2 1 4 1 8 2 1 1 6 3 1 3 42.238087 -87.860933
1137 "Atlanta" "GA" "30075" 8 2 2 2 2 2 2 1 3 20 9 4 2 1 1 3 1 1 7 3 7 5 1 1 4 1 4 1 3 1 3 1 2 2 2 2 1 1 7 1 1 1 3 2 2 1 3 5 1 1 1 2 5 4 1 3 2 3 1 8 2 1 4 6 1 2 1 34.049789 -84.385397
1138 "EastPatchogue" "NY" "11772" 4 1 2 2 2 2 2 2 3 2 8 4 1 1 1 1 2 1 3 5 2 2 1 1 12 1 1 1 2 1 1 1 2 7 4 2 1 2 1 3 4 2 3 1 2 1 4 2 1 2 4 2 10 4 1 1 3 2 1 8 2 1 3 0 1 1 3 40.770898 -73.002136
1139 "Wolfeboro" "NH" "03894" 4 2 1 2 2 2 2 2 2 20 5 4 1 2 1 1 2 1 7 6 6 5 1 1 10 3 1 2 2 1 1 1 12 5 1 1 3 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 43.596233 -71.195529
1140 "Miami" "FL" "33143" 8 2 2 2 2 2 2 1 2 1 9 7 2 1 1 3 1 1 1 1 4 0 1 1 3 1 4 0 3 9 8 1 16 3 4 2 1 1 3 3 1 2 3 5 1 1 5 5 1 2 4 3 3 4 1 5 7 3 1 8 3 1 3 8 1 6 1 25.702929 -80.296423
1141 "Flushing" "NY" "11367" 4 1 3 1 2 2 2 3 3 16 7 4 2 1 4 2 1 1 3 6 6 5 1 1 12 1 4 0 2 1 1 1 3 7 4 2 1 2 4 3 1 2 0 2 1 1 4 2 1 2 4 2 1 4 1 1 5 3 1 8 1 1 1 6 1 1 3 40.728614 -73.821452
1142 "SilverSpring" "MD" "20902" 1 2 3 2 2 2 3 1 2 2 8 7 1 1 1 2 2 1 5 1 6 5 1 1 3 1 1 4 3 1 9 1 17 7 3 2 1 1 3 1 1 2 3 2 1 3 3 1 1 2 4 3 3 4 1 1 5 3 1 3 2 1 4 6 2 1 1 39.040759 -77.048763
1143 "newyork" "NY" "10014" 7 2 3 2 2 2 2 3 3 2 8 1 2 1 4 2 1 1 2 6 2 2 1 1 3 1 4 1 2 1 1 3 2 5 3 5 2 2 4 3 1 2 2 2 1 1 2 5 1 2 4 2 1 4 1 1 1 2 1 8 2 1 4 7 1 2 1 40.734718 -74.005326
1144 "austin" "TX" "78701" 1 2 2 2 2 2 2 1 0 3 5 4 2 1 1 3 1 1 1 1 4 5 5 6 2 1 4 1 1 1 8 1 16 3 2 2 3 1 7 1 1 2 2 2 2 1 4 1 1 2 4 1 1 4 1 1 4 2 1 8 2 1 1 4 1 2 3 30.27127 -97.741039
1145 "Atlanta" "GA" "30329" 8 2 3 2 2 2 2 1 2 20 9 4 2 1 1 2 5 1 3 6 7 5 5 1 4 6 3 3 2 1 1 1 14 1 3 2 2 3 1 1 1 2 2 1 1 1 2 1 1 3 4 1 1 4 1 3 5 1 1 8 1 1 1 7 1 2 3 33.827554 -84.323551
1146 "Allentown" "PA" "18104" 8 2 3 2 2 2 2 1 2 20 9 4 2 1 1 2 5 1 3 6 7 5 5 1 4 6 3 3 2 1 1 1 14 1 3 2 2 3 1 1 1 2 2 1 1 1 2 1 1 3 4 1 1 4 1 3 5 1 1 8 1 1 1 7 1 2 3 40.601996 -75.521042
1147 "Cleveland" "OH" "44134" 4 2 3 2 2 2 2 2 3 2 3 1 2 1 1 3 7 1 3 3 3 2 1 6 12 1 1 1 1 2 1 1 3 1 4 1 2 2 1 1 3 1 1 2 1 1 4 2 1 1 4 2 3 3 1 2 1 1 1 8 2 1 1 6 3 2 1 41.393852 -81.705075
1148 "Riverside" "CT" "06878" 7 1 2 2 2 2 2 2 1 20 8 4 2 1 1 3 1 1 0 4 3 3 1 1 1 1 4 0 2 1 1 1 2 0 2 1 1 2 1 1 1 2 0 3 4 1 5 5 1 3 4 2 1 4 1 1 5 3 1 3 2 1 1 7 1 2 4 41.034264 -73.5842
1149 "Merion" "PA" "19006" 7 2 3 2 2 2 2 2 3 21 7 3 1 1 3 1 2 1 2 6 7 5 1 1 4 1 4 4 3 1 1 1 12 5 4 4 2 3 7 3 1 2 3 2 4 6 5 5 1 3 1 2 10 4 1 1 1 3 1 3 2 1 1 7 1 2 2 40.129509 -75.061151
1150 "Ridgewood" "NJ" "07401" 4 2 3 2 2 2 2 1 3 1 8 4 2 1 11 3 1 1 4 6 7 5 1 1 3 2 1 1 3 1 1 1 12 7 3 6 1 1 4 4 1 2 3 2 4 1 4 2 1 2 4 2 1 4 1 1 1 2 1 4 8 1 1 8 1 2 1 41.031505 -74.134097
1151 "Columbus" "OH" "43085" 4 2 3 2 2 2 2 1 3 1 8 4 2 1 11 3 1 1 4 6 7 5 1 1 3 2 1 1 3 1 1 1 12 7 3 6 1 1 4 4 1 2 3 2 4 1 4 2 1 2 4 2 1 4 1 1 1 2 1 4 8 1 1 8 1 2 1 40.097796 -83.02076
1152 "Trumbull" "CT" "06611" 4 2 3 2 2 2 2 2 1 20 8 4 2 2 2 1 2 1 7 4 7 2 1 1 1 1 3 1 3 1 1 1 14 5 1 6 1 3 7 1 2 2 3 2 1 1 5 5 1 2 4 5 1 4 1 1 3 3 1 3 2 1 3 1 1 2 2 41.256129 -73.212278
1153 "Saginaw" "MI" "48603" 4 1 1 2 2 2 2 2 4 20 5 6 2 1 1 3 2 1 5 3 7 3 1 6 14 3 1 1 3 2 8 1 2 5 6 2 2 2 4 1 1 4 0 2 4 6 4 1 2 6 4 2 11 3 1 2 1 0 1 6 3 1 4 6 1 2 1 43.441975 -84.011775
1154 "FortWorth" "TX" "76109" 8 2 2 2 2 2 2 1 3 3 9 0 2 1 1 1 1 1 3 0 2 5 5 1 2 1 4 0 3 9 8 1 2 1 4 5 2 1 2 1 2 2 3 2 2 1 4 5 1 1 4 2 1 3 1 5 1 3 1 8 2 1 4 6 3 1 1 32.699565 -97.378083
1155 "Wilmington" "DE" "19807" 1 2 2 2 2 2 1 1 3 1 8 4 2 1 1 3 1 1 6 0 0 0 5 10 1 1 4 4 3 9 8 3 2 3 4 1 2 1 5 2 1 2 3 2 3 0 5 5 1 0 4 2 1 3 1 5 4 3 1 8 3 1 4 6 2 1 3 39.787512 -75.602565
1156 "Lindenhurst" "NY" "11757" 4 1 3 2 2 2 2 2 3 3 8 1 2 1 4 1 2 1 3 6 6 3 1 1 3 1 4 1 3 1 1 1 0 7 4 2 1 2 4 1 3 2 0 3 4 1 4 2 1 2 4 2 9 4 1 1 1 3 1 8 2 1 1 6 1 2 2 40.690049 -73.374426
1157 "westlake" "OH" "44145" 7 2 2 2 2 2 2 2 3 20 3 6 2 1 1 3 7 1 3 4 6 3 1 6 3 1 4 1 1 1 8 1 2 5 4 2 2 2 1 2 1 2 3 2 1 1 4 2 1 3 4 2 3 4 6 2 1 3 1 8 2 1 1 7 1 2 3 41.454439 -81.928657
